| Term            | Soundex  | Appearances (DocHash, Frequency)                   |
| Features        | FEA3     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Avatar/YouTube  | A1A3     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Avatar�        | A1A3     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| director        | DI6E     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| James           | JA5E     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Cameron         | CA5E     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| became          | BE2A     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| king            | KI52     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �It�s           | I320     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Wonderful       | WO53     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Life�           | LI1E     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| still           | S3I4     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| draws           | D6AW     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| fans            | FA52     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| movie           | MO1I     | (6, 3)                                             |
|-----------------|----------|----------------------------------------------------|
| theaters        | THEA     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| decades         | DE2A     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| release         | RE4E     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Yes             | YE20     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| viral           | VI6A     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Cocaine        | CO2A     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Bear�           | BEA6     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| based           | BA2E     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| true            | T6UE     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| kinda           | KI53     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| small           | S5A4     | (6, 1), (8, 1)                                     |
|-----------------|----------|----------------------------------------------------|
| mighty          | MI2H     | (6, 1), (8, 1)                                     |
|-----------------|----------|----------------------------------------------------|
| love            | LO1E     | (6, 1), (8, 1)                                     |
|-----------------|----------|----------------------------------------------------|
| �Willow�        | WI4O     | (6, 1), (8, 1)                                     |
|-----------------|----------|----------------------------------------------------|
| led             | LE30     | (6, 1), (8, 1)                                     |
|-----------------|----------|----------------------------------------------------|
| shiny           | SHI5     | (6, 1), (8, 1)                                     |
|-----------------|----------|----------------------------------------------------|
| new             | NEW0     | (6, 1), (8, 1)                                     |
|-----------------|----------|----------------------------------------------------|
| series          | SE6I     | (6, 1), (8, 2)                                     |
|-----------------|----------|----------------------------------------------------|
| secrets         | SE26     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| behind          | BEHI     | (6, 1), (8, 1)                                     |
|-----------------|----------|----------------------------------------------------|
| favorite        | FA1O     | (6, 2)                                             |
|-----------------|----------|----------------------------------------------------|
| Christmas       | CH6I     | (6, 2)                                             |
|-----------------|----------|----------------------------------------------------|
| classics        | C4A2     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Hanks           | HA52     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| share           | SHA6     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| movies          | MO1I     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Namor           | NA5O     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| swims           | SWI5     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| past            | PA23     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Aquaman         | A2UA     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| comparisons     | CO51     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Black          | B4A2     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Panther         | PA53     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Wakanda         | WA2A     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Forever�        | FO6E     | (6, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Saeed           | SAEE     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Adyani/Apple    | A3YA     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Jennifer        | JE5I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Garner�s        | GA65     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| return          | RE3U     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Eric            | E6I2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| McCandless/ABC  | M2A5     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Grey�s         | G6EY     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Anatomy�        | A5A3     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| McCreary        | M26E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| exits           | E2I3     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Falconer/Apple  | FA42     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Jane            | JA5E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Krakowski       | K6A2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| tackled         | TA24     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| flying          | F4YI     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| trapeze         | T6A1     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Schmigadoon    | S2H5     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Jon             | JO50     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Kopaloff/Frazer | KO1A     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Harrison/Getty  | HA6I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Yellowstone�   | YE4O     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| on-screen       | O526     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| couple          | COU1     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| confirms        | CO51     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| real-life       | REA4     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| romance         | RO5A     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Liam            | LIA5     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Daniel/Netflix  | DA5I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Queen          | QUEE     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Charlotte       | CHA6     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Bridgerton      | B6I3     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Story�          | S3O6     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| offers          | O1E6     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| deeper          | DEE1     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| look            | LOO2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| monarch�s       | MO5A     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| origin          | O6I2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Barry�         | BA6Y     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| taking          | TA2I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| wild            | WI43     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| chances         | CHA5     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| whack           | WHA2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| farewell        | FA6E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Andrew          | A536     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Cooper/Netflix  | COO1     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Beef�          | BEE1     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| turns           | TU65     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| road-rage       | ROA3     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| run-in          | RU5I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| one             | O5E0     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| year�s          | YEA6     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| juiciest        | JUI2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| shows           | SHOW     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Colin           | CO4I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Bentley/SHOWTIME | BE53     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Yellowjackets� | YE4O     | (8, 2)                                             |
|-----------------|----------|----------------------------------------------------|
| leans           | LEA5     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| hard            | HA63     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �90s            | S000     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| music           | MU2I     | (8, 2)                                             |
|-----------------|----------|----------------------------------------------------|
| nostalgia       | NO23     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| we�re           | WE6E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Lucasfilm       | LU2A     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Ltd./Disney+    | L3I2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Lizzo           | LI2O     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| snuggles        | S5U2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Grogu           | G6O2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| cameo-filled    | CA5E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Mandalorian�    | MA53     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Kailey          | KAI4     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Schwerman/SHOWTIME | S2HW     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| stays           | S3AY     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| hovering        | HO1E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| pattern         | PA3E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| slow-going      | S4OW     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| second          | SE2O     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Patrick         | PA36     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Harbron/Hulu    | HA61     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Up             | U100     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Here�           | HE6E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| assembles       | A2E5     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| all-star        | A423     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| creative        | C6EA     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| team            | TEA5     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| pretty          | P6E3     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| flat            | F4A3     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| musical         | MU2I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Netflix         | NE31     | (8, 2)                                             |
|-----------------|----------|----------------------------------------------------|
| Night           | NI2H     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Agent�          | A2E5     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| works           | WO62     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �24�-like       | LI2E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| thriller        | TH6I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Rabbit         | RA1I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Hole�           | HO4E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| leads           | LEA3     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| nowhere         | NOWH     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| AppleTV+        | A14E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Ted            | TE30     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Lasso�          | LA2O     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| follows         | FO4O     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| familiar        | FA5I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| game            | GA5E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| plan            | P4A5     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| kicking         | KI2I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| third           | THI6     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Anna            | A5A0     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Moneymaker/Getty | MO5E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Mindy           | MI53     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Kaling          | KA4I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| late            | LA3E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| mother          | MO3H     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| receiving       | RE2E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| National        | NA3I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Medal           | ME3A     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Dick            | DI20     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Van             | VA50     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Dyke            | DY2E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| suffers         | SU1E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �minor          | MI5O     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| injuries�       | I52U     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Malibu          | MA4I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| car             | CA60     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Vanderpump     | VA53     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Rules�          | RU4E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| mid-season      | MI32     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| addresses       | A36E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| cheating        | CHEA     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| scandal         | S2A5     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Aaron           | AA6O     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Sorkin          | SO62     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| suffered        | SU1E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| stroke          | S36O     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| November        | NO1E     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Julianne        | JU4I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Hough           | HOU2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| replacing       | RE14     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Tyra            | TY6A     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Banks           | BA52     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Dancing        | DA52     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Stars�          | S3A6     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| co-host         | COHO     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| enough          | E5OU     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �Wednesday�     | WE35     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| dance           | DA52     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| tWitch�s        | TWI3     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| legacy          | LE2A     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| kindness        | KI53     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| loss            | LO20     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| tragic          | T6A2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Inside          | I52I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| formula         | FO65     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| �A              | A000     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Charlie         | CHA6     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Brown           | B6OW     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| Christmas�      | CH6I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| holiday         | HO4I     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| hit             | HI30     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| could           | COU4     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| store           | S3O6     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| White           | WHI3     | (8, 2)                                             |
|-----------------|----------|----------------------------------------------------|
| Lotus�          | LO3U     | (8, 2)                                             |
|-----------------|----------|----------------------------------------------------|
| Season          | SEA2     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| 3               |          | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| cringeworthy    | C6I5     | (8, 1)                                             |
|-----------------|----------|----------------------------------------------------|
| moments         | MO5E     | (8, 1)                                             |
